city_name,country,hemisphere,lat,lon,avg_annual_temp,spring_TAVG,summer_TAVG,autumn_TAVG,winter_TAVG,summer_TMAX,winter_TMIN,temp_range,annual_PRCP,spring_PRCP,summer_PRCP,autumn_PRCP,winter_PRCP,wettest_season,driest_season,climate_type,data_years,total_records
Busan,South Korea,Northern,33.02,130.43,17.33,19.96,26.77,14.01,8.59,35.6,-2.32,37.92,18.75,5.68,8.19,2.3,2.58,summer,autumn,Temperate-Dry-Continental,20,80
Cairo,Egypt,Northern,31.18,29.95,20.21,21.9,26.77,17.62,14.56,32.2,3.8,28.4,1.5,0.04,0.0,0.12,1.34,winter,summer,Hot-Dry-Moderate,1,4
Calgary,Canada,Northern,51.04,-113.99,4.78,9.96,15.29,-1.07,-5.07,32.95,-30.29,63.24,4.42,1.74,1.59,0.66,0.43,spring,winter,Cold-Dry-Continental,8,32
Cambridge,United Kingdom,Northern,52.14,-0.58,10.83,12.24,16.12,9.03,5.92,28.11,-4.26,32.37,7.58,1.38,1.97,2.35,1.88,autumn,spring,Temperate-Dry-Continental,20,80
Canberra,Australia,Southern,-35.23,149.17,14.58,17.63,20.82,10.81,9.05,38.21,-4.76,42.97,6.4,1.73,1.67,1.42,1.58,spring,autumn,Temperate-Dry-Continental,20,80
Cancún,Mexico,Northern,20.23,-88.85,27.15,28.94,28.59,25.76,25.31,37.61,11.58,26.03,12.15,2.77,5.1,3.34,0.94,summer,winter,Hot-Dry-Moderate,20,80
Cannes,France,Northern,43.68,7.04,15.9,17.86,23.49,12.82,9.41,34.25,-0.11,34.36,7.28,1.45,0.99,2.88,1.96,autumn,summer,Temperate-Dry-Continental,20,80
Cape Town,South Africa,Southern,-33.84,18.67,15.89,17.16,19.76,14.12,12.5,30.88,2.96,27.92,8.91,2.2,1.4,2.54,2.77,winter,summer,Temperate-Dry-Moderate,20,80
Caracas,Venezuela,Northern,9.92,-67.33,26.92,27.02,27.61,26.61,26.42,33.64,22.03,11.61,20.26,8.57,3.14,4.92,3.63,spring,summer,Hot-Dry-Maritime,7,28
Casablanca,Morocco,Northern,33.48,-7.51,18.46,19.02,23.56,17.24,14.04,32.06,4.78,27.28,9.36,1.5,1.47,3.41,2.99,autumn,summer,Temperate-Dry-Moderate,20,80
Cebu,Philippines,Northern,10.32,124.02,27.9,28.69,28.16,27.79,26.95,33.9,22.22,11.68,34.78,7.34,9.54,9.78,8.13,autumn,spring,Hot-Dry-Maritime,20,80
Charleston,United States,Northern,32.87,-81.85,18.92,22.46,26.21,14.93,12.08,37.09,-5.94,43.03,13.9,3.64,4.32,2.9,3.04,summer,autumn,Temperate-Dry-Continental,11,44
Chengdu,China,Northern,30.77,103.94,13.37,17.19,20.61,9.21,6.48,32.53,-6.05,38.58,10.65,3.16,5.41,1.3,0.78,summer,winter,Temperate-Dry-Continental,20,80
Chennai,India,Northern,13.01,80.17,28.46,30.69,29.68,26.83,26.62,38.18,21.77,16.41,42.03,7.44,8.71,20.79,5.09,autumn,winter,Hot-Dry-Moderate,20,80
Chiang Mai,Thailand,Northern,18.73,99.01,26.7,28.45,27.44,26.1,24.82,35.7,18.22,17.48,21.62,5.12,6.79,6.23,3.48,summer,winter,Hot-Dry-Moderate,20,80
Chicago,United States,Northern,42.1,-87.79,10.66,15.69,21.97,5.96,-0.97,34.61,-22.31,56.92,10.8,3.48,3.05,2.3,1.97,spring,winter,Temperate-Dry-Continental,11,44
Christchurch,New Zealand,Southern,-43.31,172.56,12.41,14.18,16.57,10.29,8.61,31.55,-4.14,35.69,5.63,1.63,1.28,1.4,1.32,spring,summer,Temperate-Dry-Continental,20,80
Cologne,Germany,Northern,50.8,4.35,11.32,13.77,17.12,8.72,5.7,30.47,-4.76,35.23,9.22,2.47,2.08,2.46,2.21,spring,summer,Temperate-Dry-Continental,17,68
Colombo,Sri Lanka,Northern,8.48,76.95,27.9,28.69,27.66,27.21,28.04,34.27,22.6,11.67,32.77,9.61,7.11,11.54,4.5,autumn,winter,Hot-Dry-Maritime,20,80
Copenhagen,Denmark,Northern,56.0,12.87,9.42,11.16,16.8,7.19,2.53,28.53,-6.95,35.48,6.43,1.04,1.94,1.93,1.52,summer,spring,Cold-Dry-Continental,20,80
Cozumel,Mexico,Northern,20.13,-88.77,27.21,28.99,28.66,25.8,25.38,37.61,11.57,26.04,12.31,2.8,5.08,3.47,0.97,summer,winter,Hot-Dry-Moderate,20,80
Crete,Greece,Northern,35.7,24.88,19.19,20.86,26.25,16.99,12.66,35.86,3.58,32.28,5.18,0.36,0.36,2.13,2.33,winter,spring,Temperate-Dry-Continental,20,80
Cusco,Peru,Southern,-12.67,-68.2,26.18,27.37,26.85,25.28,25.2,34.81,13.63,21.18,37.01,9.95,12.0,8.42,6.65,summer,winter,Hot-Dry-Moderate,19,76
Córdoba,Argentina,Southern,-30.99,-62.1,18.16,21.16,22.85,15.46,13.16,37.39,3.58,33.81,34.76,10.4,13.01,6.49,4.86,summer,winter,Temperate-Dry-Continental,20,80
Da Nang,Vietnam,Northern,18.64,110.1,25.12,27.46,28.01,23.78,21.25,34.38,12.28,22.1,31.68,10.05,11.54,8.57,1.53,summer,winter,Hot-Dry-Moderate,20,80
Daegu,South Korea,Northern,33.68,130.89,17.16,19.77,26.79,13.84,8.24,35.82,-2.46,38.28,16.31,4.53,6.98,2.3,2.49,summer,autumn,Temperate-Dry-Continental,20,80
Dakar,Senegal,Northern,14.71,-17.26,27.65,29.14,28.26,29.0,24.19,35.9,18.77,17.13,20.09,2.88,13.58,3.18,0.44,summer,winter,Hot-Dry-Moderate,8,32
Dalian,China,Northern,39.0,121.65,10.83,16.13,23.37,4.8,-0.98,32.75,-14.29,47.04,13.23,3.07,8.0,1.49,0.67,summer,winter,Temperate-Dry-Continental,20,80
Damascus,Syria,Northern,34.86,37.46,19.03,20.72,27.79,16.09,11.51,34.65,2.67,31.98,15.91,3.16,0.19,7.01,5.56,autumn,summer,Temperate-Dry-Continental,15,60
Dar es Salaam,Tanzania,Southern,-6.84,39.15,26.44,27.2,27.98,25.97,24.61,34.26,18.56,15.7,25.69,7.61,6.91,8.55,2.61,autumn,winter,Hot-Dry-Moderate,20,80
Darwin,Australia,Southern,-12.5,130.86,27.65,29.38,28.5,26.76,25.96,34.81,14.42,20.39,11.33,2.84,7.62,0.74,0.13,summer,winter,Hot-Dry-Moderate,20,80
Davao,Philippines,Northern,9.17,124.82,27.75,28.31,28.17,27.57,26.96,34.64,21.29,13.35,45.93,8.88,9.3,12.96,14.79,winter,spring,Hot-Dry-Maritime,20,80
Delhi,India,Northern,30.78,75.93,22.07,27.61,27.73,17.71,15.23,36.34,5.05,31.29,24.57,5.93,11.48,3.7,3.46,summer,winter,Hot-Dry-Continental,20,80
Denver,United States,Northern,39.89,-105.63,2.84,5.66,12.48,-1.62,-5.17,28.44,-24.73,53.17,8.54,2.51,1.72,1.98,2.33,spring,summer,Cold-Dry-Continental,20,80
Dhaka,Bangladesh,Northern,23.78,90.38,26.34,29.3,29.16,24.18,22.72,35.23,12.84,22.39,13.6,3.7,7.92,1.2,0.78,summer,winter,Hot-Dry-Moderate,13,52
Dili,East Timor,Southern,-7.67,124.18,27.36,27.42,27.57,27.96,26.5,32.84,21.79,11.05,47.57,4.2,21.81,21.07,0.49,summer,winter,Hot-Dry-Maritime,1,4
Doha,Qatar,Northern,25.26,55.36,29.1,32.03,35.69,26.35,22.35,46.43,12.25,34.18,1.09,0.32,0.11,0.22,0.44,winter,summer,Hot-Dry-Continental,17,68
Douala,Cameroon,Northern,4.02,9.72,26.93,27.27,25.59,26.55,28.3,31.54,22.45,9.09,55.94,17.74,20.73,10.41,7.06,summer,winter,Hot-Dry-Maritime,16,64
Dresden,Germany,Northern,50.97,11.8,9.68,13.3,17.55,5.69,2.17,33.85,-13.27,47.12,6.32,1.62,2.17,1.35,1.19,summer,winter,Cold-Dry-Continental,20,80
Dubai,United Arab Emirates,Northern,25.26,55.36,29.17,32.05,35.76,26.49,22.37,46.43,12.58,33.85,1.03,0.28,0.1,0.22,0.43,winter,summer,Hot-Dry-Continental,17,68
Dublin,Ireland,Northern,53.41,-6.34,9.8,10.84,14.5,8.11,5.76,25.05,-4.42,29.47,9.49,2.24,2.63,2.56,2.05,summer,winter,Cold-Dry-Moderate,20,80
Durban,South Africa,Southern,-29.83,30.7,19.27,20.1,22.59,18.09,16.28,33.82,6.27,27.55,17.2,4.85,4.55,4.43,3.38,spring,winter,Temperate-Dry-Moderate,20,80
Dushanbe,Tajikistan,Northern,38.54,68.82,14.23,15.04,24.92,10.32,6.64,34.28,-4.57,38.85,18.48,6.97,0.94,0.53,10.04,winter,autumn,Temperate-Dry-Continental,2,8
Düsseldorf,Germany,Northern,50.8,4.35,11.32,13.77,17.12,8.72,5.7,30.47,-4.76,35.23,9.22,2.47,2.08,2.46,2.21,spring,summer,Temperate-Dry-Continental,17,68
Edinburgh,United Kingdom,Northern,56.15,-3.53,9.16,10.22,13.86,7.51,5.04,24.56,-4.9,29.46,11.24,2.0,2.84,3.5,2.91,autumn,spring,Cold-Dry-Moderate,20,80
Edmonton,Canada,Northern,53.54,-113.53,3.91,10.27,15.34,-2.95,-7.03,32.24,-32.4,64.64,4.06,1.46,1.7,0.47,0.43,summer,winter,Cold-Dry-Continental,20,80
Florence,Italy,Northern,43.33,10.65,13.78,16.29,21.89,10.58,6.35,33.92,-4.75,38.67,7.03,1.44,0.95,2.07,2.58,winter,summer,Temperate-Dry-Continental,20,80
Fortaleza,Brazil,Southern,-5.05,-42.82,28.48,29.4,27.41,27.62,29.51,35.99,23.5,12.49,29.55,7.68,10.36,10.88,0.63,autumn,winter,Hot-Dry-Maritime,10,40
Frankfurt,Germany,Northern,48.55,7.64,11.63,15.51,19.06,7.32,4.64,35.58,-9.22,44.8,6.98,2.13,2.04,1.59,1.22,spring,winter,Temperate-Dry-Continental,20,80
Fukuoka,Japan,Northern,33.18,130.63,17.4,20.22,26.9,13.93,8.55,35.82,-2.66,38.48,18.93,5.75,8.39,2.24,2.55,summer,autumn,Temperate-Dry-Continental,20,80
Gaborone,Botswana,Southern,-29.1,26.3,16.3,20.5,20.89,12.08,11.74,34.11,-0.72,34.83,14.01,3.83,4.63,3.07,2.47,summer,winter,Temperate-Dry-Continental,17,68
Gdansk,Poland,Northern,53.4,19.03,9.15,12.89,17.32,5.4,0.97,31.25,-14.3,45.55,6.56,1.41,2.27,1.48,1.4,summer,winter,Cold-Dry-Continental,20,80
Geelong,Australia,Southern,-38.04,144.37,14.67,16.11,19.01,12.65,10.91,39.79,0.66,39.13,6.66,1.73,1.25,1.75,1.93,winter,summer,Temperate-Dry-Continental,20,80
Geneva,Switzerland,Northern,46.35,5.09,12.72,16.06,20.47,8.67,5.68,35.8,-6.63,42.43,7.68,2.13,1.92,2.1,1.53,spring,winter,Temperate-Dry-Continental,20,80
Glasgow,United Kingdom,Northern,56.1,-3.88,9.2,10.21,13.83,7.61,5.13,24.28,-4.7,28.98,11.67,2.06,2.94,3.63,3.05,autumn,spring,Cold-Dry-Moderate,20,80
Goa,India,Northern,14.9,74.07,27.91,28.51,26.77,27.77,28.61,32.9,22.9,10.0,58.89,20.18,22.87,11.55,4.29,summer,winter,Hot-Dry-Maritime,20,80
Gold Coast,Australia,Southern,-28.42,152.2,19.84,22.28,24.43,17.15,15.52,35.47,2.39,33.08,11.25,2.63,4.34,2.79,1.48,summer,winter,Temperate-Dry-Continental,20,80
Gothenburg,Sweden,Northern,57.13,16.03,6.47,9.77,14.51,2.95,-1.36,29.36,-15.77,45.13,6.76,1.43,2.34,1.77,1.22,summer,winter,Cold-Dry-Continental,20,80
Granada,Spain,Northern,36.15,-5.35,18.86,19.56,23.9,17.57,14.41,34.97,6.72,28.25,7.61,1.07,0.34,2.83,3.37,winter,summer,Temperate-Dry-Moderate,20,80
Graz,Austria,Northern,48.05,14.13,10.5,15.06,18.96,5.44,2.55,33.8,-10.1,43.9,10.57,3.21,4.29,1.75,1.33,summer,winter,Temperate-Dry-Continental,20,80
Guadalajara,Mexico,Northern,20.57,-103.29,21.18,24.17,22.08,19.09,19.36,31.97,3.72,28.25,6.32,1.12,4.7,0.43,0.06,summer,winter,Hot-Dry-Moderate,20,80
Guangzhou,China,Northern,23.39,113.5,22.12,25.01,28.51,19.3,15.67,36.82,4.14,32.68,23.02,9.52,8.11,2.71,2.68,spring,winter,Hot-Dry-Continental,20,80
Guatemala City,Guatemala,Northern,17.54,-88.31,27.46,28.82,29.05,26.18,25.81,33.81,16.26,17.55,13.09,2.59,3.73,5.07,1.7,autumn,winter,Hot-Dry-Moderate,18,72
Guayaquil,Ecuador,Southern,-1.53,-78.88,18.72,18.85,18.87,19.03,18.13,26.3,11.57,14.73,23.42,4.48,8.79,7.06,3.09,summer,winter,Temperate-Dry-Maritime,13,52
Haifa,Israel,Northern,31.53,34.9,19.58,21.77,26.41,17.54,12.61,37.3,2.18,35.12,5.11,0.45,0.06,2.09,2.51,winter,summer,Temperate-Dry-Continental,20,80
Halifax,Canada,Northern,45.42,-63.86,7.0,9.69,17.39,4.25,-3.32,30.32,-23.15,53.47,14.39,3.28,3.33,4.42,3.35,autumn,spring,Cold-Dry-Continental,20,80
Hamburg,Germany,Northern,53.3,9.7,10.24,13.13,17.25,7.02,3.55,33.3,-10.66,43.96,8.08,1.79,2.32,2.08,1.9,summer,spring,Temperate-Dry-Continental,20,80
Hamilton,Canada,Northern,43.32,-79.87,9.25,12.9,20.27,5.42,-1.58,33.37,-20.43,53.8,9.7,2.56,2.43,2.35,2.37,spring,autumn,Cold-Dry-Continental,8,32
Hangzhou,China,Northern,30.22,120.14,18.13,21.79,28.02,14.4,8.32,37.52,-2.67,40.19,19.16,5.43,5.9,3.25,4.58,summer,autumn,Temperate-Dry-Continental,18,72
Hanoi,Vietnam,Northern,22.52,107.25,22.07,25.47,27.29,19.29,16.23,35.89,5.55,30.34,23.24,9.72,8.57,3.19,1.77,spring,winter,Hot-Dry-Continental,20,80
Harare,Zimbabwe,Southern,-18.04,31.12,18.84,21.68,21.73,17.18,14.77,31.01,7.63,23.38,17.21,4.93,8.65,3.18,0.44,summer,winter,Temperate-Dry-Moderate,14,56
Havana,Cuba,Northern,19.3,-81.37,28.28,28.74,29.94,27.88,26.55,33.79,19.22,14.57,11.94,2.97,3.99,4.19,0.8,autumn,winter,Hot-Dry-Maritime,20,80
Helsinki,Finland,Northern,60.54,24.45,6.75,9.7,15.52,3.33,-1.57,26.04,-16.69,42.73,14.76,3.55,4.8,3.66,2.75,summer,winter,Cold-Dry-Continental,20,80
Hiroshima,Japan,Northern,34.73,133.5,16.74,19.15,26.69,13.39,7.73,35.9,-2.48,38.38,13.75,3.72,5.59,2.29,2.15,summer,winter,Temperate-Dry-Continental,20,80
Ho Chi Minh City,Vietnam,Northern,10.88,106.74,27.33,28.81,28.95,26.25,25.3,35.54,19.59,15.95,27.63,4.68,5.73,13.41,3.81,autumn,winter,Hot-Dry-Moderate,20,80
Hobart,Australia,Southern,-42.26,147.27,12.32,13.57,16.32,10.49,8.89,34.11,-1.26,35.37,6.47,1.68,1.28,1.62,1.89,winter,summer,Temperate-Dry-Continental,20,80
Hong Kong,China,Northern,23.42,113.86,22.1,24.99,28.42,19.34,15.66,36.59,4.31,32.28,23.0,9.21,8.09,2.89,2.81,spring,winter,Hot-Dry-Continental,20,80
Honolulu,United States,Northern,21.29,-157.86,25.34,25.38,27.28,25.33,23.35,33.31,15.28,18.03,5.52,1.09,1.03,1.59,1.82,winter,summer,Hot-Dry-Moderate,11,44
Hyderabad,India,Northern,17.37,78.58,27.39,30.37,27.35,25.89,25.97,36.14,19.89,16.25,30.49,6.68,9.45,9.89,4.47,autumn,winter,Hot-Dry-Moderate,20,80
Ibiza,Spain,Northern,38.92,1.21,18.49,19.44,25.58,16.47,12.5,35.48,1.49,33.99,4.56,0.63,0.97,1.89,1.07,autumn,spring,Temperate-Dry-Continental,20,80
Incheon,"Korea, South",Northern,37.49,126.71,12.45,16.59,24.21,7.85,1.14,31.8,-9.49,41.29,28.18,8.62,15.73,2.52,1.32,summer,winter,Temperate-Dry-Continental,12,48
Innsbruck,Austria,Northern,48.4,11.38,9.76,13.84,17.53,5.33,2.35,33.49,-14.3,47.79,8.24,2.66,2.76,1.52,1.3,summer,winter,Cold-Dry-Continental,20,80
Isfahan,Iran,Northern,32.82,51.2,18.77,23.82,29.03,13.37,8.85,42.47,-7.96,50.43,1.78,0.61,0.09,0.46,0.62,winter,summer,Temperate-Dry-Continental,20,80
Islamabad,Pakistan,Northern,33.52,72.9,22.44,28.94,29.08,17.4,14.35,39.42,1.46,37.96,13.04,2.17,6.96,1.4,2.51,summer,autumn,Hot-Dry-Continental,13,52
